S0102	S0104	S0105	S0106	S0107	S0108	S0111	S0112	S0113	S0115	S0116	S0117	S1504	S1505	S1506	S1511	S1512	S1513	S2904	S2905	S2906	S2911	S2912	S2913	S4304	S4305	S4306	S4311	S4312	S4313
Epithelial cells	0.00515080420773536	0.00801815615074902	0.00511750225846798	0.0063190255111947	0.000293935967449566	0	0.00328435680453806	0.00577658490388257	0.00758870805540512	0.00675515046086494	0	2.81720269608534e-19	0.00669408613120721	0.00832232243458264	0	0.0014346268474954	0.00102527166962204	0	0.00470285202100757	0.00780896384456324	0.00676562209244785	0.00313591264496956	0.00145715878426082	0.0062593203984171	0.00473383664377031	0.0127758415246559	4.51222014117496e-22	0.00839531131646186	0	7.39565823620029e-19
Erythrocytes	0	0	0	0	4.41665690162364e-20	2.14990970114929e-21	0	0	3.16058246661218e-19	3.49363710132456e-19	2.77498469656209e-18	0	2.42654016772019e-21	8.84303592802218e-21	1.89782782203471e-18	8.82622283123022e-19	2.19990271068814e-18	0	0	0	0	0	0	8.77193756821891e-19	9.30021053238576e-19	0	0	0	0	4.44018163158924e-19
Fibroblasts	0	0	0	0	0.0220580702053301	0	9.32781681744765e-18	6.6328994851804e-18	0	0.0346674188843424	2.47970876137927e-17	0	0	1.18817632956009e-17	0	1.6828325201168e-17	0	0	4.32884950535131e-18	0	2.1787102869609e-18	5.90921175107678e-18	8.16768897692371e-18	0	0	7.68893588579957e-18	0	9.95292313511383e-19	8.17619962571476e-18	0
GMP	2.65917770368392e-19	0.00161754050132976	1.01880047221821e-17	0	0	0.00100458641950419	0	0	0	7.94897834086159e-19	1.23132144698537e-17	2.23510951714548e-18	0	0.0407458281702962	5.04657158633474e-18	2.62053537109394e-18	2.22996100655748e-17	0	0.018982475759447	0.0262747403676778	0	1.43943920942936e-18	9.52296901214901e-18	0	5.2086844736287e-18	0	0.0113190749670875	0.0152615530460931	0	5.42359523321648e-18
Hepatocytes	1.73861392419639e-18	0.00498061480792451	4.40572983988699e-18	0	0.00184103932543569	0.00579796540912199	8.25843493409492e-19	0	2.33258476485662e-18	3.46523862674355e-20	0.00175106247985712	2.90103152415674e-19	0.00361648170059328	0.00102649043840472	0.00813005739697613	0	5.24920500408717e-20	0.00166495128588257	0.00150731431118227	0.000939706426946097	0	0	5.45415005381574e-19	3.5076606445017e-19	0.00230490978805955	3.82500880293201e-19	0.00233884939348503	1.92878924633053e-19	3.24716932247224e-19	0.000824395669650869
HSC	0.16176536299497	0.196603584912163	0.0535992418350061	0.0418484920065961	0.325026712924099	0.139469061548831	0.0430509655535215	0.074351266642089	0.00777478397079392	0.0689925230171769	0.0469701461100075	0.0707884389651204	0.0564518825976423	0.102160327029383	0.0336314046218314	0.151338468502149	0.019756633050522	0.0334638782232325	0.0149347232090971	0.0696646175633889	0.0395251851261127	0.0074855962812652	0.0452299684141223	7.04120475652424e-19	2.7209145102646e-18	0.0148888346619146	0.0825305969446254	0.00948193963880621	0.00525986354207533	0.0603213141232418
iDC	0.0237978532592386	0.0474533204943133	0.0240450229407719	0.00853752104567164	0.061441143358494	0.183209774425311	0.0131222752805018	0	0.0125891851272961	0.118617760624985	0.0325696212727595	0.0674413979332278	0.0559742896281997	0.049938713063925	0.0240388164993645	0.0083777041349393	0.0296006170408439	0.0414991523431692	0.288624213760277	0.0564005586286763	0.000618891060627709	0	0.0672968493555167	0.0398334014843762	0.0331894190363257	0.0610175349979408	0.292868075449109	0.0060991855285358	0	0.0336643404824059
Keratinocytes	0.00388336040544717	0.000703752933631869	0.00130237042818956	5.63582201720243e-20	0.000336251190348485	0.00794799822232808	1.3010217944082e-19	0.000361767330588332	0.000444473066637523	0	0	3.98561919789245e-18	5.42101086242752e-20	0.00396888952911094	3.78950806923131e-19	0.000114378199190405	0	1.35841786955614e-18	0.000890508867653456	0.000960141998699704	0.000678314910889487	0	5.25632102641105e-19	0	0.00562477563092907	0.00552682308675152	0	0	1.31987074157557e-22	0
ly Endothelial cells	0.0363078559557178	0.0214875144116322	0.00566808421951722	1.2816539804435e-19	0.0431937155738348	0.0350497890242206	0.010038529432344	0.00416748548547243	5.52410780512441e-20	0.00584951340072586	0.0148293901703023	0.0163259207704154	0.0120944629257949	0.0273686369696644	0.00965008213144062	0.00950394304983607	0.00364788216401605	0.0257949376643031	0.0117148809151796	0.00329434960758631	0.00257921300775184	0	0.00524145834263741	2.56529832470042e-19	0.0340128532047819	0.00165658627338224	0.0109952201506052	0.0145766545976546	0	0.0463608175629572
Macrophages	0.00453556349747921	0	0.00374640645615466	0.0163980978472244	4.82370886458774e-19	1.06281289200549e-19	4.32630769707173e-19	0.009242580788262	0.0108627343069346	0	0.00637210925879347	4.38882371581083e-19	0	0	0.000742722410262527	0.0070060505047318	0.0253580716138741	2.04538688259718e-18	0	0	0.00105177936822522	1.86301896355493e-23	0.00103017807881408	0.00407731950972527	2.14974237027913e-20	4.17581856751256e-19	0.0124418024303167	1.41751664100825e-18	0.00225181289659245	2.16749013001602e-19
